,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,innisfail,-17.5333,146.0333,90.21200000000006,72,50,2.45,AU,1645489748
2,punta arenas,-53.15,-70.9167,62.708000000000006,51,20,7.2,CL,1645489748
3,qaanaaq,77.484,-69.3632,-7.023999999999965,57,78,4.08,GL,1645489749
4,cape town,-33.9258,18.4232,64.27400000000002,76,0,3.09,ZA,1645489728
5,quatre cocos,-20.2078,57.7625,80.09600000000006,89,78,7.63,MU,1645489749
6,klaksvik,62.2266,-6.589,36.518000000000086,76,100,20.48,FO,1645489749
7,tual,-5.6667,132.75,82.65200000000007,77,100,11.14,ID,1645489750
8,mataura,-46.1927,168.8643,58.478000000000065,99,100,2.43,NZ,1645489750
9,busselton,-33.65,115.3333,70.05200000000008,61,0,4.16,AU,1645489750
10,rikitea,-23.1203,-134.9692,77.75600000000003,71,29,2.66,PF,1645489751
11,bredasdorp,-34.5322,20.0403,63.71600000000001,77,84,2.06,ZA,1645489751
12,yellowknife,62.456,-114.3525,-12.58599999999997,77,20,3.6,CA,1645489751
13,ures,29.4333,-110.4,65.24600000000005,40,31,6.59,MX,1645489752
14,sao joao da barra,-21.6403,-41.0511,76.80200000000008,90,84,5.24,BR,1645489752
15,tuktoyaktuk,69.4541,-133.0374,-11.199999999999953,70,40,7.72,CA,1645489752
16,ilulissat,69.2167,-51.1,-0.3819999999999695,65,75,4.63,GL,1645489753
17,tougue,11.4667,-11.6,75.93800000000005,30,72,1.67,GN,1645489753
19,albany,42.6001,-73.9662,40.622000000000035,65,38,0.42,US,1645489360
20,vao,-22.6667,167.4833,80.02400000000002,81,98,5.85,NC,1645489753
21,hermanus,-34.4187,19.2345,63.806000000000026,80,96,1.21,ZA,1645489754
22,dikson,73.5069,80.5464,12.758000000000003,93,100,6.58,RU,1645489754
23,ostrovnoy,68.0531,39.5131,18.644000000000073,85,100,2.46,RU,1645489754
24,butaritari,3.0707,172.7902,81.21200000000006,81,96,8.8,KI,1645489755
25,bengkulu,-3.8004,102.2655,75.38000000000005,88,99,1.86,ID,1645489755
26,ust-nera,64.5667,143.2,-31.917999999999985,97,74,1.72,RU,1645489755
27,avarua,-21.2078,-159.775,84.25400000000005,79,40,8.75,CK,1645489756
28,ushuaia,-54.8,-68.3,55.05800000000001,82,75,11.32,AR,1645489566
29,valdivia,-39.8142,-73.2459,62.924000000000014,48,42,3.18,CL,1645489756
30,mezen,65.8522,44.24,5.090000000000021,100,90,1.62,RU,1645489757
31,hobart,-42.8794,147.3294,65.04800000000003,44,75,3.6,AU,1645489757
32,labuhan,-6.8844,112.2051,78.83600000000007,84,98,3.73,ID,1645489757
33,cockburn town,21.4612,-71.1419,77.72000000000006,72,4,8.22,TC,1645489696
34,thompson,55.7435,-97.8558,-14.637999999999941,58,0,3.6,CA,1645489758
35,morehead,37.2711,-87.1764,58.83800000000005,78,100,6.69,US,1645489719
36,sabang,5.8933,95.3214,82.058,75,51,4.91,ID,1645489758
37,salinopolis,-0.6136,-47.3561,79.77200000000005,84,98,5.59,BR,1645489759
38,kendal,54.3268,-2.7476,44.438000000000045,91,57,3.71,GB,1645489759
39,ambilobe,-13.2,49.05,75.092,94,100,2.05,MG,1645489759
40,khatanga,71.9667,102.5,3.236000000000068,92,100,3.01,RU,1645489759
41,cayenne,4.9333,-52.3333,78.09800000000003,89,100,1.34,GF,1645489760
42,sisophon,13.5859,102.9737,66.16400000000004,73,86,4.08,KH,1645489760
